Date,Cars,Motorcycles,Light Goods Vehicles,Heavy Goods Vehicles,Buses & coaches,Other vehicles,Total,All ULEVs,ULEV cars,"Plug-in Grant Eligible Cars and Vans 5,6","Plug-in Non Grant Eligible Cars and Vans 5,6"
Jan-01,197.9,9.8,19.2,3.3,0.6,2.1,233,,,,
Feb-01,83.8,8.3,12.6,3.3,0.6,1.9,110.5,,,,
Mar-01,426.2,21.8,37.7,5.3,1.3,3.3,495.6,,,,
Apr-01,185.8,17,20.7,4.4,0.8,3.4,232.2,,,,
May-01,206.6,18,21.8,4.3,0.9,3,254.5,,,,
Jun-01,226.2,20.2,24.3,4.5,1.1,3.1,279.3,,,,
Jul-01,183.7,18.3,19.7,4.3,0.8,3.4,230.1,,,,
Aug-01,83.4,13.9,13.3,3.5,0.6,2.7,117.3,,,,
Sep-01,462.5,21,39.9,8.3,1.4,3.7,536.8,,,,
Oct-01,195.8,13.1,22.3,3.8,0.8,2.8,238.6,,,,
Nov-01,197.3,11.1,24.2,4.2,0.9,2.7,240.4,,,,
Dec-01,136.9,8,18.3,3.3,0.8,2.1,169.5,,,,
Jan-02,213.5,8.5,19.8,3.5,0.8,2.2,248.2,,,,
Feb-02,98.9,8.2,15.5,3.2,0.6,2.4,128.8,,,,
Mar-02,446.3,21.4,36,4.8,1.5,3.8,513.7,,,,
Apr-02,214,18.2,21.7,4.2,1.2,3.9,263.2,,,,
May-02,219,17.7,24.4,3.9,1.2,3.8,270,,,,
Jun-02,217,15.4,22.9,4,1.2,3.1,263.5,,,,
Jul-02,204.8,15.9,22.1,4.1,1.1,4,252,,,,
Aug-02,93,12.8,13.7,3.5,0.6,3.1,126.6,,,,
Sep-02,446.9,18.7,38.2,5,1.3,3,513,,,,
Oct-02,193,12.4,24.7,4.4,0.9,2.9,238.4,,,,
Nov-02,182.9,9.4,24.6,4.9,1,2.6,225.3,,,,
Dec-02,152.8,7.4,19.9,3.3,1.1,2.2,186.8,,,,
Jan-03,193.4,8,22,3.8,0.9,2.6,230.8,,,,
Feb-03,92.2,7.2,14.5,3.2,0.6,2.5,120.2,,,,
Mar-03,452,21.5,44.3,5.7,1.9,4.7,530.1,,,,
Apr-03,196.3,17.3,23.6,4.6,1.2,4,247.1,,,,
May-03,202.6,18.2,24.5,4.2,1.3,3.7,254.5,,,,
Jun-03,243.8,27.8,28.6,4.6,1.3,3.6,309.6,,,,
Jul-03,201.1,11.9,24.6,4.3,1.1,4.2,247.2,,,,
Aug-03,94.2,10,16.5,3.7,0.7,3.3,128.4,,,,
Sep-03,447.5,13.9,43.9,5.2,1.6,3.6,515.8,,,,
Oct-03,186.6,9.9,26.3,5.1,1,3,232,,,,
Nov-03,175.7,7.9,26.6,4.9,1,2.7,218.6,,,,
Dec-03,160.8,7.3,22.4,3.7,1,2.4,197.5,,,,
Jan-04,199.6,6.3,21.2,3.7,0.8,2.6,234.1,,,,
Feb-04,92.3,6.1,15.1,3.1,0.5,2.4,119.6,,,,
Mar-04,470.3,16.6,49.9,6,1.9,5,549.6,,,,
Apr-04,191.1,13.3,25.2,4.5,1.1,4.3,239.4,,,,
May-04,197.6,14.2,27,4.5,1,4.1,248.4,,,,
Jun-04,241.1,15.2,31.6,4.7,1.5,3.8,297.9,,,,
Jul-04,188.2,14,25.5,4.3,0.9,4.4,237.3,,,,
Aug-04,87.5,10.9,15.2,3.3,0.8,3.5,121.1,,,,
